field_id,representation_id,source_field_id,source_family,source_table,source_field,entity_scope,temporal_semantics,observable_clock,maturity_rule,pit_status,unit_status,field_role,search_eligible,allowed_routes,blocked_reason
fund_ba_total_assets_delta,cn.rep.80ad701c547b69a1db784db911915dc6,cn.sf.60d83a7afdd194b37a2c575c23983508,canonical_fundamental_size,balance_sheet_report_em,TOTAL_ASSETS,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_assets_yoy,cn.rep.27ced252af9a6dbd72f01e803db27845,cn.sf.60d83a7afdd194b37a2c575c23983508,canonical_fundamental_growth,balance_sheet_report_em,TOTAL_ASSETS,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_assets_slope,cn.rep.6c8ffc65ff597f66af85de61af466fd2,cn.sf.60d83a7afdd194b37a2c575c23983508,canonical_fundamental_size,balance_sheet_report_em,TOTAL_ASSETS,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_assets_persistence,cn.rep.e7e4100ac718d3111c908822cef08e96,cn.sf.60d83a7afdd194b37a2c575c23983508,canonical_fundamental_size,balance_sheet_report_em,TOTAL_ASSETS,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_assets_acceleration,cn.rep.01d7e06eb10cf2cf586da292ac477b38,cn.sf.60d83a7afdd194b37a2c575c23983508,canonical_fundamental_size,balance_sheet_report_em,TOTAL_ASSETS,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_assets_source_yoy,cn.rep.44d91d47d3e39147af58e3e67b09ea13,cn.sf.5524d5a1e7084a83f8429114cb4e8226,canonical_fundamental_growth,balance_sheet_report_em,TOTAL_ASSETS_YOY,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_liabilities_delta,cn.rep.32efbe2020883486d6dffd1a91edd066,cn.sf.911bcfaee1a839850a29432cd89e35a8,canonical_fundamental_leverage,balance_sheet_report_em,TOTAL_LIABILITIES,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_liabilities_yoy,cn.rep.3ffb53dc6784a08cbbc354392fb2444a,cn.sf.911bcfaee1a839850a29432cd89e35a8,canonical_fundamental_growth,balance_sheet_report_em,TOTAL_LIABILITIES,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_liabilities_slope,cn.rep.ffddbb14480fa232d92ab5ed2c0d746d,cn.sf.911bcfaee1a839850a29432cd89e35a8,canonical_fundamental_leverage,balance_sheet_report_em,TOTAL_LIABILITIES,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_liabilities_persistence,cn.rep.155fcf4b73358117a706b1356b1cfc6c,cn.sf.911bcfaee1a839850a29432cd89e35a8,canonical_fundamental_leverage,balance_sheet_report_em,TOTAL_LIABILITIES,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_liabilities_acceleration,cn.rep.3bb9376f2abc160299757cc9179c21b8,cn.sf.911bcfaee1a839850a29432cd89e35a8,canonical_fundamental_leverage,balance_sheet_report_em,TOTAL_LIABILITIES,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_liabilities_source_yoy,cn.rep.9a2649dbef0f26a2c3a5cf8e7a58c3c3,cn.sf.89c64a7dc304edda97b56954db54e8c4,canonical_fundamental_growth,balance_sheet_report_em,TOTAL_LIABILITIES_YOY,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_equity_delta,cn.rep.f7e683c670b162fe2e1f41e5675f9f1c,cn.sf.0f0bfac4037c3ade1c551b83fd48478f,canonical_fundamental_leverage,balance_sheet_report_em,TOTAL_EQUITY,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_equity_yoy,cn.rep.265e04bcd2dee7cb5595f81d1447c8d4,cn.sf.0f0bfac4037c3ade1c551b83fd48478f,canonical_fundamental_growth,balance_sheet_report_em,TOTAL_EQUITY,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_equity_slope,cn.rep.f25479a71cc729e83a4c434d447b19ce,cn.sf.0f0bfac4037c3ade1c551b83fd48478f,canonical_fundamental_leverage,balance_sheet_report_em,TOTAL_EQUITY,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_equity_persistence,cn.rep.bcda251408e62a2f01a0637fbf17c4b6,cn.sf.0f0bfac4037c3ade1c551b83fd48478f,canonical_fundamental_leverage,balance_sheet_report_em,TOTAL_EQUITY,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_equity_acceleration,cn.rep.5b576ab9989b9181874880ae105f5967,cn.sf.0f0bfac4037c3ade1c551b83fd48478f,canonical_fundamental_leverage,balance_sheet_report_em,TOTAL_EQUITY,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_equity_source_yoy,cn.rep.44bf67be5e4cd253963b0568bb4b478b,cn.sf.63b58722757dcbb75d6a3104c271ee8c,canonical_fundamental_growth,balance_sheet_report_em,TOTAL_EQUITY_YOY,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_current_assets_delta,cn.rep.7a9a48ec94fbc3ac1d8305ba86d06a02,cn.sf.924d664bf492b3f85c7bbf23f21006ec,canonical_fundamental_liquidity_solvency,balance_sheet_report_em,TOTAL_CURRENT_ASSETS,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_current_assets_yoy,cn.rep.b2df6f42d8a01c5017fc33ab61a00daa,cn.sf.924d664bf492b3f85c7bbf23f21006ec,canonical_fundamental_growth,balance_sheet_report_em,TOTAL_CURRENT_ASSETS,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_current_assets_slope,cn.rep.0f31e816037dfa927367ae1b71c02127,cn.sf.924d664bf492b3f85c7bbf23f21006ec,canonical_fundamental_liquidity_solvency,balance_sheet_report_em,TOTAL_CURRENT_ASSETS,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_current_assets_persistence,cn.rep.00e24730cce5669f01badc1792ab954a,cn.sf.924d664bf492b3f85c7bbf23f21006ec,canonical_fundamental_liquidity_solvency,balance_sheet_report_em,TOTAL_CURRENT_ASSETS,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_current_assets_acceleration,cn.rep.31d8d631366cdc9db2e1b928bbb5867a,cn.sf.924d664bf492b3f85c7bbf23f21006ec,canonical_fundamental_liquidity_solvency,balance_sheet_report_em,TOTAL_CURRENT_ASSETS,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_current_assets_source_yoy,cn.rep.38c4d7d1d0d5c93a3797483d0412c023,cn.sf.94ce7a98f60f0606fc57d4efd673e4e5,canonical_fundamental_growth,balance_sheet_report_em,TOTAL_CURRENT_ASSETS_YOY,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_current_liab_delta,cn.rep.34a43fb893933e57c3c225102d13d38d,cn.sf.5aff3d89cb1dd27d431ef1fab7046ee9,canonical_fundamental_liquidity_solvency,balance_sheet_report_em,TOTAL_CURRENT_LIAB,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_current_liab_yoy,cn.rep.d065c29d94a6e5287be785c081dc060f,cn.sf.5aff3d89cb1dd27d431ef1fab7046ee9,canonical_fundamental_growth,balance_sheet_report_em,TOTAL_CURRENT_LIAB,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_current_liab_slope,cn.rep.8d83b1123bd1fc75038d988a9bbd218e,cn.sf.5aff3d89cb1dd27d431ef1fab7046ee9,canonical_fundamental_liquidity_solvency,balance_sheet_report_em,TOTAL_CURRENT_LIAB,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_current_liab_persistence,cn.rep.153c89adac4bbbeed10171279bb5dad3,cn.sf.5aff3d89cb1dd27d431ef1fab7046ee9,canonical_fundamental_liquidity_solvency,balance_sheet_report_em,TOTAL_CURRENT_LIAB,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_current_liab_acceleration,cn.rep.a6ffe9b088d5624c1b234a1bfa74d80b,cn.sf.5aff3d89cb1dd27d431ef1fab7046ee9,canonical_fundamental_liquidity_solvency,balance_sheet_report_em,TOTAL_CURRENT_LIAB,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_total_current_liab_source_yoy,cn.rep.db63e13b12792cef9e528169a825110e,cn.sf.8384b7fcb9071361297d68fd0bc9ab13,canonical_fundamental_growth,balance_sheet_report_em,TOTAL_CURRENT_LIAB_YOY,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_monetaryfunds_delta,cn.rep.f8c3a827e47328f3cb6d98e9b75a74ef,cn.sf.3d34b8e640c583e9d6b9da8325c3006a,canonical_fundamental_liquidity_solvency,balance_sheet_report_em,MONETARYFUNDS,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_monetaryfunds_yoy,cn.rep.f92963353f73aa12c9c59f1fb31411b5,cn.sf.3d34b8e640c583e9d6b9da8325c3006a,canonical_fundamental_growth,balance_sheet_report_em,MONETARYFUNDS,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_monetaryfunds_slope,cn.rep.88830b1feedf067bf66052f79ad53540,cn.sf.3d34b8e640c583e9d6b9da8325c3006a,canonical_fundamental_liquidity_solvency,balance_sheet_report_em,MONETARYFUNDS,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_monetaryfunds_persistence,cn.rep.a81637b00f40fd862c85bc473c0a9421,cn.sf.3d34b8e640c583e9d6b9da8325c3006a,canonical_fundamental_liquidity_solvency,balance_sheet_report_em,MONETARYFUNDS,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_monetaryfunds_acceleration,cn.rep.dc8813f1b7a7d35c43e93e7632261dc8,cn.sf.3d34b8e640c583e9d6b9da8325c3006a,canonical_fundamental_liquidity_solvency,balance_sheet_report_em,MONETARYFUNDS,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_monetaryfunds_source_yoy,cn.rep.83f91e44d14c97c01ba7d130f2112df8,cn.sf.95859f7f677a11465e2fef4cf8cc080a,canonical_fundamental_growth,balance_sheet_report_em,MONETARYFUNDS_YOY,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_accounts_rece_delta,cn.rep.c4de4ea9482451d568484fa2e8f38759,cn.sf.b2ca74da8aa8c7a407ef9f61f8ff7209,canonical_fundamental_working_capital,balance_sheet_report_em,ACCOUNTS_RECE,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_accounts_rece_yoy,cn.rep.ef9f689be2744c528afc3f052bafc700,cn.sf.b2ca74da8aa8c7a407ef9f61f8ff7209,canonical_fundamental_growth,balance_sheet_report_em,ACCOUNTS_RECE,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_accounts_rece_slope,cn.rep.5752df468f0b32c091ae7f5a0c578e5a,cn.sf.b2ca74da8aa8c7a407ef9f61f8ff7209,canonical_fundamental_working_capital,balance_sheet_report_em,ACCOUNTS_RECE,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_accounts_rece_persistence,cn.rep.a26e7f616ea12b9a29d8b7d14ebaddc0,cn.sf.b2ca74da8aa8c7a407ef9f61f8ff7209,canonical_fundamental_working_capital,balance_sheet_report_em,ACCOUNTS_RECE,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_accounts_rece_acceleration,cn.rep.f0ed2e5b7bd39ce6826c8c04c28db518,cn.sf.b2ca74da8aa8c7a407ef9f61f8ff7209,canonical_fundamental_working_capital,balance_sheet_report_em,ACCOUNTS_RECE,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_accounts_rece_source_yoy,cn.rep.92b6dc2ae1855cd810d77a65ce643c7b,cn.sf.0dc5be68ccec1227b8b0db86fa41fb51,canonical_fundamental_growth,balance_sheet_report_em,ACCOUNTS_RECE_YOY,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_inventory_delta,cn.rep.9c2035832d88dc6f3d33c3c962872931,cn.sf.b8125b47ca797d0c04fc5edc8d729586,canonical_fundamental_working_capital,balance_sheet_report_em,INVENTORY,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_inventory_yoy,cn.rep.027d3e785f2ce3461e1ad8a61551d921,cn.sf.b8125b47ca797d0c04fc5edc8d729586,canonical_fundamental_growth,balance_sheet_report_em,INVENTORY,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_inventory_slope,cn.rep.7c88a193c3feeaa5cbbdbce9f8e81afe,cn.sf.b8125b47ca797d0c04fc5edc8d729586,canonical_fundamental_working_capital,balance_sheet_report_em,INVENTORY,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_inventory_persistence,cn.rep.fceeb7d418908ac9ff4fde964a7a7bbd,cn.sf.b8125b47ca797d0c04fc5edc8d729586,canonical_fundamental_working_capital,balance_sheet_report_em,INVENTORY,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_inventory_acceleration,cn.rep.43ea4aa35dbfc5cc9dccf9b712a3559a,cn.sf.b8125b47ca797d0c04fc5edc8d729586,canonical_fundamental_working_capital,balance_sheet_report_em,INVENTORY,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_inventory_source_yoy,cn.rep.c093cabc6e22a65289fca2e8e636864e,cn.sf.ef486f4ebbdbeea6178d9e203c9df237,canonical_fundamental_growth,balance_sheet_report_em,INVENTORY_YOY,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_accounts_payable_delta,cn.rep.ad831a69db6936ff5a4ab482543449e6,cn.sf.e5984e907750728bdd7a9045c518e5e8,canonical_fundamental_working_capital,balance_sheet_report_em,ACCOUNTS_PAYABLE,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_accounts_payable_yoy,cn.rep.9340e79aca86257e85fd5108fe89fc8a,cn.sf.e5984e907750728bdd7a9045c518e5e8,canonical_fundamental_growth,balance_sheet_report_em,ACCOUNTS_PAYABLE,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_accounts_payable_slope,cn.rep.3dede1bcf6596e967f3f9aaef4deba74,cn.sf.e5984e907750728bdd7a9045c518e5e8,canonical_fundamental_working_capital,balance_sheet_report_em,ACCOUNTS_PAYABLE,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_accounts_payable_persistence,cn.rep.488543a7597e25f3511ba88eb2a4a255,cn.sf.e5984e907750728bdd7a9045c518e5e8,canonical_fundamental_working_capital,balance_sheet_report_em,ACCOUNTS_PAYABLE,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_accounts_payable_acceleration,cn.rep.d6c2a97a2a5c7861d872225dfb1f8538,cn.sf.e5984e907750728bdd7a9045c518e5e8,canonical_fundamental_working_capital,balance_sheet_report_em,ACCOUNTS_PAYABLE,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_accounts_payable_source_yoy,cn.rep.1fd369ad43a0f2850c24b2b4d7f71472,cn.sf.8716dedbf7637085725880ea4f6b0bc5,canonical_fundamental_growth,balance_sheet_report_em,ACCOUNTS_PAYABLE_YOY,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_fixed_asset_delta,cn.rep.267cfe04ddf909c4606bb866d3e36342,cn.sf.5d1556b20b4bd64f0481038c60683efc,canonical_fundamental_capital_investment,balance_sheet_report_em,FIXED_ASSET,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_fixed_asset_yoy,cn.rep.1464e84dce96079b3005269a30273d67,cn.sf.5d1556b20b4bd64f0481038c60683efc,canonical_fundamental_growth,balance_sheet_report_em,FIXED_ASSET,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_fixed_asset_slope,cn.rep.c98c235bf41da36c15fcdde9c87f35dd,cn.sf.5d1556b20b4bd64f0481038c60683efc,canonical_fundamental_capital_investment,balance_sheet_report_em,FIXED_ASSET,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
fund_ba_fixed_asset_persistence,cn.rep.b15224b3fda0604a911eae505791ffe0,cn.sf.5d1556b20b4bd64f0481038c60683efc,canonical_fundamental_capital_investment,balance_sheet_report_em,FIXED_ASSET,STOCK,SLOW_CHANGE,next_session_after_source_disclosure,max_dependency_observable_time,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,SOURCE_UNIT_GLOSSARY_ASSERTED,primary,True,"[""SLOW_TEMPORAL_CHANGE""]",
